Gene	Ensembl	Uniprot_Accession	Gene.description	HPA.evidence	RNA.tissue.specificity	RNA.tissue.specificity.score	RNA.tissue.specific.nTPM	Uniprot_Name	Mass	GO_Annotations	GeneID	Pubmed_Citations	Antibody.Count	HGNC	ASCTB_Tissues	ASCTB_UBERON
SLC4A5	ENSG00000188687	Q9BY07	Solute carrier family 4 member 5	Evidence at transcript level	Tissue enhanced	NA	choroid plexus: 62.0;retina: 42.4;thyroid gland: 26.9	S4A5_HUMAN	126255	27	57835	21	0	NA	NA	NA
SLC4A7	ENSG00000033867	Q9Y6M7	Solute carrier family 4 member 7	Evidence at protein level	Tissue enhanced	NA	intestine: 58.1;retina: 73.6	S4A7_HUMAN	136044	26	9497	86	14	NA	NA	NA
SLC4A8	ENSG00000050438	Q2Y0W8	Solute carrier family 4 member 8	Evidence at transcript level	Group enriched	5	brain: 27.6;pituitary gland: 18.0;retina: 11.2;testis: 11.7	S4A8_HUMAN	122938	46	9498	23	13	NA	NA	NA
SLC4A9	ENSG00000113073	Q96Q91	Solute carrier family 4 member 9	Evidence at transcript level	Tissue enriched	23	kidney: 34.8	B3A4_HUMAN	108248	19	83697	5	2	HGNC:11035	Kidney	UBERON:0002113
SLC50A1	ENSG00000169241	Q9BRV3	Solute carrier family 50 member 1	Evidence at transcript level	Low tissue specificity	NA		SWET1_HUMAN	25030	15	55974	14	1	NA	NA	NA
SLC51A	ENSG00000163959	Q86UW1	Solute carrier family 51 subunit alpha	Evidence at protein level	Group enriched	11	intestine: 65.1;liver: 71.9	OSTA_HUMAN	37735	21	200931	24	0	NA	NA	NA
SLC51B	ENSG00000186198	Q86UW2	Solute carrier family 51 subunit beta	Evidence at protein level	Tissue enhanced	NA	cervix: 42.2;intestine: 108.0	OSTB_HUMAN	14346	23	123264	22	0	NA	NA	NA
SLC52A1	ENSG00000132517	Q9NWF4	Solute carrier family 52 member 1	Evidence at transcript level	Group enriched	19	intestine: 36.1;placenta: 18.5;skin 1: 11.2	S52A1_HUMAN	46317	20	55065	21	1	NA	NA	NA
SLC52A2	ENSG00000185803	Q9HAB3	Solute carrier family 52 member 2	Evidence at transcript level	Low tissue specificity	NA		S52A2_HUMAN	45777	17	79581	35	0	NA	NA	NA
SLC52A3	ENSG00000101276	Q9NQ40	Solute carrier family 52 member 3	Evidence at transcript level	Tissue enhanced	NA	intestine: 19.4;testis: 40.4	S52A3_HUMAN	50805	19	113278	52	0	NA	NA	NA
SLC5A1	ENSG00000100170	P13866	Solute carrier family 5 member 1	Evidence at protein level	Tissue enriched	10	intestine: 532.9	SC5A1_HUMAN	73498	61	6523	122	0	NA	NA	NA
SLC5A10	ENSG00000154025	A0PJK1	Solute carrier family 5 member 10	Evidence at transcript level	Tissue enriched	12	kidney: 42.0	SC5AA_HUMAN	64342	11	125206	14	1	NA	NA	NA
SLC5A11	ENSG00000158865	Q8WWX8	Solute carrier family 5 member 11	Evidence at transcript level	Tissue enriched	5	brain: 46.1	SC5AB_HUMAN	74036	12	115584	16	0	HGNC:23091	Kidney	UBERON:0002113
SLC5A12	ENSG00000148942	Q1EHB4	Solute carrier family 5 member 12	Evidence at protein level	Tissue enhanced	NA	epididymis: 48.2;intestine: 30.4;kidney: 173.2	SC5AC_HUMAN	67647	12	159963	10	0	HGNC:28750	Kidney	UBERON:0002113
SLC5A2	ENSG00000140675	P31639	Solute carrier family 5 member 2	Evidence at protein level	Tissue enriched	18	kidney: 53.3	SC5A2_HUMAN	72897	27	6524	101	7	HGNC:11037	Kidney	UBERON:0002113
SLC5A3	ENSG00000198743	P53794	Solute carrier family 5 member 3	Evidence at protein level	Tissue enhanced	NA	brain: 34.0;choroid plexus: 76.5	SC5A3_HUMAN	79694	37	6526	40	1	NA	NA	NA
SLC5A4	ENSG00000100191	Q9NY91	Solute carrier family 5 member 4	Evidence at transcript level	Tissue enriched	5	intestine: 19.9	SC5A4_HUMAN	72456	9	6527	17	0	NA	NA	NA
SLC5A5	ENSG00000105641	Q92911	Solute carrier family 5 member 5	Evidence at protein level	Group enriched	7	choroid plexus: 132.1;salivary gland: 65.0;stomach 1: 59.3	SC5A5_HUMAN	68666	38	6528	173	16	NA	NA	NA
SLC5A6	ENSG00000138074	Q9Y289	Solute carrier family 5 member 6	Evidence at transcript level	Tissue enhanced	NA	liver: 104.8	SC5A6_HUMAN	68642	35	8884	54	0	NA	NA	NA
SLC5A7	ENSG00000115665	Q9GZV3	Solute carrier family 5 member 7	Evidence at protein level	Tissue enriched	12	brain: 22.2	SC5A7_HUMAN	63204	26	60482	41	7	NA	NA	NA
SLC5A8	ENSG00000256870	Q8N695	Solute carrier family 5 member 8	Evidence at transcript level	Group enriched	6	cervix: 20.4;kidney: 5.6;thyroid gland: 15.7	SC5A8_HUMAN	66578	19	160728	55	1	NA	NA	NA
SLC5A9	ENSG00000117834	Q2M3M2	Solute carrier family 5 member 9	Evidence at transcript level	Tissue enriched	6	intestine: 43.7	SC5A9_HUMAN	74073	10	200010	7	1	NA	NA	NA
SLC66A1	ENSG00000040487	Q6ZP29	Solute carrier family 66 member 1	Evidence at protein level	Low tissue specificity	NA		LAAT1_HUMAN	31947	17	54896	15	NA	NA	NA	NA
SLC66A2	ENSG00000122490	Q8N2U9	Solute carrier family 66 member 2	Evidence at protein level	Tissue enhanced	NA	liver: 186.9	S66A2_HUMAN	30478	28	80148	8	NA	NA	NA	NA
SLC66A3	ENSG00000162976	Q8N755	Solute carrier family 66 member 3	Evidence at transcript level	Low tissue specificity	NA		S66A3_HUMAN	22575	1	130814	7	NA	NA	NA	NA
SLC6A1	ENSG00000157103	P30531	Solute carrier family 6 member 1	Evidence at protein level	Tissue enhanced	NA	brain: 67.6;liver: 88.0;retina: 37.3	SC6A1_HUMAN	67074	49	6529	84	1	NA	NA	NA
SLC6A11	ENSG00000132164	P48066	Solute carrier family 6 member 11	Evidence at protein level	Tissue enriched	11	brain: 121.3	S6A11_HUMAN	70606	21	6538	23	1	NA	NA	NA
SLC6A12	ENSG00000111181	P48065	Solute carrier family 6 member 12	Evidence at protein level	Tissue enhanced	NA	brain: 30.7;kidney: 28.7;liver: 82.2	S6A12_HUMAN	69368	17	6539	29	1	NA	NA	NA
SLC6A13	ENSG00000010379	Q9NSD5	Solute carrier family 6 member 13	Evidence at protein level	Tissue enriched	4	kidney: 154.5	S6A13_HUMAN	68009	34	6540	29	1	NA	NA	NA
SLC6A14	ENSG00000268104	Q9UN76	Solute carrier family 6 member 14	Evidence at transcript level	Tissue enhanced	NA	lung: 16.2;salivary gland: 20.8	S6A14_HUMAN	72153	16	11254	33	0	NA	NA	NA
SLC6A15	ENSG00000072041	Q9H2J7	Solute carrier family 6 member 15	Evidence at transcript level	Tissue enhanced	NA	brain: 22.6;retina: 15.9	S6A15_HUMAN	81836	20	55117	50	0	NA	NA	NA
SLC6A16	ENSG00000063127	Q9GZN6	Solute carrier family 6 member 16	Evidence at protein level	Tissue enriched	6	testis: 95.1	S6A16_HUMAN	82200	7	28968	5	1	NA	NA	NA
SLC6A17	ENSG00000197106	Q9H1V8	Solute carrier family 6 member 17	Evidence at protein level	Group enriched	4	brain: 52.0;pituitary gland: 25.5	S6A17_HUMAN	81001	25	388662	14	0	NA	NA	NA
SLC6A18	ENSG00000164363	Q96N87	Solute carrier family 6 member 18	Evidence at protein level	Tissue enriched	76	kidney: 8.3	S6A18_HUMAN	70897	15	348932	20	0	NA	NA	NA
SLC6A19	ENSG00000174358	Q695T7	Solute carrier family 6 member 19	Evidence at protein level	Group enriched	35	intestine: 143.6;kidney: 89.5	S6A19_HUMAN	71110	19	340024	29	6	NA	NA	NA
SLC6A2	ENSG00000103546	P23975	Solute carrier family 6 member 2	Evidence at protein level	Tissue enhanced	NA	adrenal gland: 21.9;brain: 77.2	SC6A2_HUMAN	69332	34	6530	213	15	NA	NA	NA
SLC6A20	ENSG00000163817	Q9NP91	Solute carrier family 6 member 20	Evidence at transcript level	Group enriched	5	choroid plexus: 49.3;intestine: 24.5	S6A20_HUMAN	65914	39	54716	31	5	NA	NA	NA
SLC6A3	ENSG00000142319	Q01959	Solute carrier family 6 member 3	Evidence at protein level	Tissue enriched	64	brain: 53.8	SC6A3_HUMAN	68495	76	6531	851	10	NA	NA	NA
SLC6A4	ENSG00000108576	P31645	Solute carrier family 6 member 4	Evidence at protein level	Tissue enhanced	NA	brain: 82.4;intestine: 40.7;lung: 29.1	SC6A4_HUMAN	70325	61	6532	2364	48	NA	NA	NA
SLC6A5	ENSG00000165970	Q9Y345	Solute carrier family 6 member 5	Evidence at transcript level	Tissue enriched	20	brain: 20.2	SC6A5_HUMAN	87434	26	9152	39	15	NA	NA	NA
SLC6A6	ENSG00000131389	P31641	Solute carrier family 6 member 6	Evidence at protein level	Tissue enhanced	NA	bone marrow: 55.3;retina: 69.1	SC6A6_HUMAN	69830	53	6533	71	2	NA	NA	NA
SLC6A7	ENSG00000011083	Q99884	Solute carrier family 6 member 7	Evidence at transcript level	Tissue enriched	6	brain: 22.4	SC6A7_HUMAN	70911	11	6534	11	21	NA	NA	NA
SLC6A8	ENSG00000130821	P48029	Solute carrier family 6 member 8	Evidence at transcript level	Low tissue specificity	NA		SC6A8_HUMAN	70523	13	6535	90	3	NA	NA	NA
SLC6A9	ENSG00000196517	P48067	Solute carrier family 6 member 9	Evidence at protein level	Tissue enhanced	NA	brain: 74.7;skin 1: 43.6	SC6A9_HUMAN	78260	34	6536	50	0	HGNC:11056	Eye	UBERON:0000970
SLC7A1	ENSG00000139514	P30825	Solute carrier family 7 member 1	Evidence at transcript level	Tissue enhanced	NA	esophagus: 55.5	SL7A1_HUMAN	67638	93	6541	81	32	NA	NA	NA
SLC7A10	ENSG00000130876	Q9NS82	Solute carrier family 7 member 10	Evidence at transcript level	Group enriched	7	adipose tissue: 29.5;brain: 11.2;breast: 12.8	AAA1_HUMAN	56798	17	56301	19	2	NA	NA	NA
SLC7A11	ENSG00000151012	Q9UPY5	Solute carrier family 7 member 11	Evidence at protein level	Tissue enhanced	NA	brain: 24.8	XCT_HUMAN	55423	45	23657	151	3	NA	NA	NA
SLC7A13	ENSG00000164893	Q8TCU3	Solute carrier family 7 member 13	Evidence at transcript level	Tissue enriched	234	kidney: 42.4	S7A13_HUMAN	52114	8	157724	10	2	NA	NA	NA
SLC7A14	ENSG00000013293	Q8TBB6	Solute carrier family 7 member 14	Evidence at transcript level	Group enriched	4	brain: 15.6;pituitary gland: 7.3;retina: 6.2	S7A14_HUMAN	84052	53	57709	16	1	NA	NA	NA
SLC7A2	ENSG00000003989	P52569	Solute carrier family 7 member 2	Evidence at protein level	Tissue enhanced	NA	liver: 178.1;parathyroid gland: 225.9	CTR2_HUMAN	71673	20	6542	39	28	NA	NA	NA
SLC7A3	ENSG00000165349	Q8WY07	Solute carrier family 7 member 3	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 19.9	CTR3_HUMAN	67169	24	84889	22	0	NA	NA	NA
SLC7A4	ENSG00000099960	O43246	Solute carrier family 7 member 4	Evidence at protein level	Tissue enhanced	NA	testis: 15.5	CTR4_HUMAN	68268	6	6545	15	0	NA	NA	NA
SLC7A5	ENSG00000103257	Q01650	Solute carrier family 7 member 5	Evidence at protein level	Tissue enhanced	NA	bone marrow: 111.7;brain: 120.3	LAT1_HUMAN	55010	83	8140	257	5	NA	NA	NA
SLC7A6	ENSG00000103064	Q92536	Solute carrier family 7 member 6	Evidence at transcript level	Tissue enhanced	NA	skeletal muscle: 75.7	YLAT2_HUMAN	56828	15	9057	33	0	NA	NA	NA
SLC7A6OS	ENSG00000103061	Q96CW6	Solute carrier family 7 member 6 opposite strand	Evidence at transcript level	Low tissue specificity	NA		S7A6O_HUMAN	35028	5	84138	18	0	NA	NA	NA
SLC7A7	ENSG00000155465	Q9UM01	Solute carrier family 7 member 7	Evidence at protein level	Tissue enhanced	NA	intestine: 132.7;kidney: 303.4	YLAT1_HUMAN	55991	12	9056	44	1	NA	NA	NA
SLC7A8	ENSG00000092068	Q9UHI5	Solute carrier family 7 member 8	Evidence at protein level	Tissue enhanced	NA	parathyroid gland: 333.5	LAT2_HUMAN	58382	86	23428	42	36	NA	NA	NA
SLC7A9	ENSG00000021488	P82251	Solute carrier family 7 member 9	Evidence at protein level	Group enriched	6	intestine: 125.6;kidney: 68.8	BAT1_HUMAN	53481	22	11136	64	10	NA	NA	NA
SLC8A1	ENSG00000183023	P32418	Solute carrier family 8 member A1	Evidence at protein level	Tissue enriched	4	heart muscle: 118.6	NAC1_HUMAN	108547	102	6546	126	12	HGNC:11068	Kidney	UBERON:0002113
SLC8A2	ENSG00000118160	Q9UPR5	Solute carrier family 8 member A2	Evidence at protein level	Tissue enriched	5	brain: 38.6	NAC2_HUMAN	100368	65	6543	24	0	NA	NA	NA
SLC8A3	ENSG00000100678	P57103	Solute carrier family 8 member A3	Evidence at transcript level	Group enriched	10	brain: 9.6;retina: 9.7;skeletal muscle: 20.7;tongue: 9.5	NAC3_HUMAN	103010	57	6547	41	2	NA	NA	NA
SLC8B1	ENSG00000089060	Q6J4K2	Solute carrier family 8 member B1	Evidence at protein level	Tissue enhanced	NA	adrenal gland: 76.0	NCLX_HUMAN	64231	36	80024	23	1	NA	NA	NA
SLC9A1	ENSG00000090020	P19634	Solute carrier family 9 member A1	Evidence at protein level	Tissue enhanced	NA	salivary gland: 77.2;stomach 1: 66.5	SL9A1_HUMAN	90763	101	6548	256	14	NA	NA	NA
SLC9A2	ENSG00000115616	Q9UBY0	Solute carrier family 9 member A2	Evidence at protein level	Tissue enhanced	NA	intestine: 20.9;stomach 1: 26.6	SL9A2_HUMAN	91520	12	6549	36	0	NA	NA	NA
SLC9A3	ENSG00000066230	P48764	Solute carrier family 9 member A3	Evidence at protein level	Tissue enhanced	NA	gallbladder: 45.8;intestine: 95.1;kidney: 63.1;stomach 1: 50.6	SL9A3_HUMAN	92855	28	6550	112	4	HGNC:11073	Kidney	UBERON:0002113
SLC9A3R1	ENSG00000109062	O14745	SLC9A3 regulator 1	Evidence at protein level	Tissue enhanced	NA	esophagus: 355.7	NHRF1_HUMAN	38868	143	9368	274	28	NA	NA	NA
SLC9A3R2	ENSG00000065054	Q15599	SLC9A3 regulator 2	Evidence at protein level	Low tissue specificity	NA		NHRF2_HUMAN	37414	55	9351	115	1	NA	NA	NA
SLC9A4	ENSG00000180251	Q6AI14	Solute carrier family 9 member A4	Evidence at protein level	Tissue enriched	6	stomach 1: 54.3	SL9A4_HUMAN	89814	19	389015	13	0	NA	NA	NA
SLC9A5	ENSG00000135740	Q14940	Solute carrier family 9 member A5	Evidence at transcript level	Tissue enhanced	NA	brain: 6.5;lymphoid tissue: 17.6	SL9A5_HUMAN	99011	11	6553	20	0	NA	NA	NA
SLC9A6	ENSG00000198689	Q92581	Solute carrier family 9 member A6	Evidence at protein level	Tissue enhanced	NA	brain: 31.4	SL9A6_HUMAN	74162	24	10479	45	2	NA	NA	NA
SLC9A7	ENSG00000065923	Q96T83	Solute carrier family 9 member A7	Evidence at protein level	Tissue enriched	4	brain: 39.6	SL9A7_HUMAN	80131	25	84679	20	0	NA	NA	NA
SLC9A8	ENSG00000197818	Q9Y2E8	Solute carrier family 9 member A8	Evidence at transcript level	Low tissue specificity	NA		SL9A8_HUMAN	65422	12	23315	30	6	NA	NA	NA
SLC9A9	ENSG00000181804	Q8IVB4	Solute carrier family 9 member A9	Evidence at transcript level	Low tissue specificity	NA		SL9A9_HUMAN	72565	16	285195	40	2	NA	NA	NA
SLC9B1	ENSG00000164037	Q4ZJI4	Solute carrier family 9 member B1	Evidence at protein level	Tissue enriched	9	testis: 40.8	SL9B1_HUMAN	56054	9	150159	6	0	NA	NA	NA
SLC9B2	ENSG00000164038	Q86UD5	Solute carrier family 9 member B2	Evidence at transcript level	Tissue enhanced	NA	liver: 39.1	SL9B2_HUMAN	57564	26	133308	14	1	NA	NA	NA
SLC9C1	ENSG00000172139	Q4G0N8	Solute carrier family 9 member C1	Evidence at transcript level	Group enriched	18	skin 1: 2.1;testis: 8.1	SL9C1_HUMAN	135206	13	285335	10	0	NA	NA	NA
SLC9C2	ENSG00000162753	Q5TAH2	Solute carrier family 9 member C2 (putative)	Evidence at protein level	Tissue enhanced	NA	brain: 1.3;choroid plexus: 1.6;testis: 6.0	SL9C2_HUMAN	129053	8	284525	4	0	NA	NA	NA
SLCO1A2	ENSG00000084453	P46721	Solute carrier organic anion transporter family member 1A2	Evidence at protein level	Tissue enhanced	NA	brain: 88.2;choroid plexus: 35.1	SO1A2_HUMAN	74145	13	6579	62	0	NA	NA	NA
SLCO1B1	ENSG00000134538	Q9Y6L6	Solute carrier organic anion transporter family member 1B1	Evidence at protein level	Tissue enriched	613	liver: 541.6	SO1B1_HUMAN	76449	23	10599	382	10	NA	NA	NA
SLCO1B3	ENSG00000111700	Q9NPD5	Solute carrier organic anion transporter family member 1B3	Evidence at protein level	Tissue enriched	20	liver: 267.3	SO1B3_HUMAN	77403	19	28234	159	5	NA	NA	NA
SLCO1B7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
SLCO1C1	ENSG00000139155	Q9NYB5	Solute carrier organic anion transporter family member 1C1	Evidence at transcript level	Group enriched	4	brain: 43.5;choroid plexus: 26.6	SO1C1_HUMAN	78696	17	53919	33	8	NA	NA	NA
SLCO2A1	ENSG00000174640	Q92959	Solute carrier organic anion transporter family member 2A1	Evidence at protein level	Tissue enhanced	NA	lung: 124.8	SO2A1_HUMAN	70044	14	6578	49	0	NA	NA	NA
SLCO2B1	ENSG00000137491	O94956	Solute carrier organic anion transporter family member 2B1	Evidence at protein level	Tissue enhanced	NA	liver: 231.5	SO2B1_HUMAN	76711	30	11309	80	0	NA	NA	NA
SLCO3A1	ENSG00000176463	Q9UIG8	Solute carrier organic anion transporter family member 3A1	Evidence at transcript level	Tissue enhanced	NA	brain: 39.4	SO3A1_HUMAN	76553	13	28232	33	0	NA	NA	NA
SLCO4A1	ENSG00000101187	Q96BD0	Solute carrier organic anion transporter family member 4A1	Evidence at protein level	Tissue enhanced	NA	lung: 57.7	SO4A1_HUMAN	77193	8	28231	30	0	NA	NA	NA
SLCO4C1	ENSG00000173930	Q6ZQN7	Solute carrier organic anion transporter family member 4C1	Evidence at transcript level	Tissue enriched	5	kidney: 41.9	SO4C1_HUMAN	78948	15	353189	19	0	NA	NA	NA
SLCO5A1	ENSG00000137571	Q9H2Y9	Solute carrier organic anion transporter family member 5A1	Evidence at protein level	Tissue enhanced	NA	lymphoid tissue: 6.6;skeletal muscle: 7.7;tongue: 11.2	SO5A1_HUMAN	91864	7	81796	14	0	NA	NA	NA
SLCO6A1	ENSG00000205359	Q86UG4	Solute carrier organic anion transporter family member 6A1	Evidence at protein level	Tissue enriched	109	testis: 30.5	SO6A1_HUMAN	79232	4	133482	14	157	NA	NA	NA
SLF1	ENSG00000133302	Q9BQI6	SMC5-SMC6 complex localization factor 1	Evidence at transcript level	Low tissue specificity	NA		SLF1_HUMAN	121050	24	84250	22	0	NA	NA	NA
SLF2	ENSG00000119906	Q8IX21	SMC5-SMC6 complex localization factor 2	Evidence at protein level	Low tissue specificity	NA		SLF2_HUMAN	131873	30	55719	28	0	NA	NA	NA
SLFN11	ENSG00000172716	Q7Z7L1	Schlafen family member 11	Evidence at protein level	Low tissue specificity	NA		SLN11_HUMAN	102836	22	91607	67	1	NA	NA	NA
SLFN12	ENSG00000172123	Q8IYM2	Schlafen family member 12	Evidence at protein level	Low tissue specificity	NA		SLN12_HUMAN	66972	26	55106	19	0	NA	NA	NA
SLFN12L	ENSG00000205045	Q6IEE8	Schlafen family member 12 like	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 3.2	SN12L_HUMAN	67096	1	100506736	12	0	NA	NA	NA
SLFN13	ENSG00000154760	Q68D06	Schlafen family member 13	Evidence at transcript level	Tissue enhanced	NA	bone marrow: 25.9;salivary gland: 32.8	SLN13_HUMAN	102045	9	146857	13	0	NA	NA	NA
SLFN14	ENSG00000236320	P0C7P3	Schlafen family member 14	Evidence at transcript level	Tissue enriched	6	bone marrow: 4.0	SLN14_HUMAN	103907	16	342618	14	0	NA	NA	NA
SLFN5	ENSG00000166750	Q08AF3	Schlafen family member 5	Evidence at protein level	Low tissue specificity	NA		SLFN5_HUMAN	101055	3	162394	25	0	NA	NA	NA
SLFNL1	ENSG00000171790	Q499Z3	Schlafen like 1	Evidence at protein level	Tissue enriched	18	testis: 76.6	SLNL1_HUMAN	45603	1	200172	7	11	NA	NA	NA
SLIRP	ENSG00000119705	Q9GZT3	SRA stem-loop interacting RNA binding protein	Evidence at protein level	Low tissue specificity	NA		SLIRP_HUMAN	12349	31	81892	88	1	NA	NA	NA
SLIT1	ENSG00000187122	O75093	Slit guidance ligand 1	Evidence at transcript level	Group enriched	9	brain: 32.2;pituitary gland: 13.6	SLIT1_HUMAN	167926	35	6585	31	2	NA	NA	NA
SLIT2	ENSG00000145147	O94813	Slit guidance ligand 2	Evidence at transcript level	Low tissue specificity	NA		SLIT2_HUMAN	169870	84	9353	198	3	NA	NA	NA
SLIT3	ENSG00000184347	O75094	Slit guidance ligand 3	Evidence at protein level	Low tissue specificity	NA		SLIT3_HUMAN	167713	24	6586	50	8	NA	NA	NA
SLITRK1	ENSG00000178235	Q96PX8	SLIT and NTRK like family member 1	Evidence at protein level	Tissue enhanced	NA	brain: 11.9;retina: 3.0	SLIK1_HUMAN	77735	26	114798	43	2	NA	NA	NA
SLITRK2	ENSG00000185985	Q9H156	SLIT and NTRK like family member 2	Evidence at transcript level	Tissue enhanced	NA	brain: 12.6;retina: 33.1	SLIK2_HUMAN	95404	24	84631	22	1	NA	NA	NA
SLITRK3	ENSG00000121871	O94933	SLIT and NTRK like family member 3	Evidence at protein level	Tissue enhanced	NA	brain: 8.6;fallopian tube: 9.7;liver: 8.0	SLIK3_HUMAN	108934	21	22865	21	0	NA	NA	NA
SLITRK4	ENSG00000179542	Q8IW52	SLIT and NTRK like family member 4	Evidence at protein level	Tissue enhanced	NA	adrenal gland: 11.2;brain: 9.6;skeletal muscle: 8.3	SLIK4_HUMAN	94331	10	139065	16	1	NA	NA	NA
SLITRK5	ENSG00000165300	O94991	SLIT and NTRK like family member 5	Evidence at transcript level	Tissue enhanced	NA	brain: 2.9;fallopian tube: 3.0;salivary gland: 3.8	SLIK5_HUMAN	107486	17	26050	24	1	NA	NA	NA
SLITRK6	ENSG00000184564	Q9H5Y7	SLIT and NTRK like family member 6	Evidence at protein level	Tissue enhanced	NA	salivary gland: 28.0;urinary bladder: 14.8	SLIK6_HUMAN	95110	21	84189	21	0	NA	NA	NA
SLK	ENSG00000065613	Q9H2G2	STE20 like kinase	Evidence at protein level	Low tissue specificity	NA		SLK_HUMAN	142695	28	9748	66	110	NA	NA	NA
SLMAP	ENSG00000163681	Q14BN4	Sarcolemma associated protein	Evidence at protein level	Low tissue specificity	NA		SLMAP_HUMAN	95198	18	7871	54	11	NA	NA	NA
SLN	ENSG00000170290	O00631	Sarcolipin	Evidence at transcript level	Group enriched	12	skeletal muscle: 8268.8;tongue: 3429.7	SARCO_HUMAN	3762	24	6588	32	0	NA	NA	NA
SLPI	ENSG00000124107	P03973	Secretory leukocyte peptidase inhibitor	Evidence at protein level	Group enriched	7	cervix: 28152.9;salivary gland: 14255.5	SLPI_HUMAN	14326	47	6590	157	21	HGNC:11092	Urinary bladder, Ureter	UBERON:0001255, UBERON:0000056
SLTM	ENSG00000137776	Q9NWH9	SAFB like transcription modulator	Evidence at protein level	Low tissue specificity	NA		SLTM_HUMAN	117148	10	79811	57	85	NA	NA	NA
SLU7	ENSG00000164609	O95391	SLU7 homolog, splicing factor	Evidence at protein level	Low tissue specificity	NA		SLU7_HUMAN	68387	54	10569	59	7	NA	NA	NA
SLURP1	ENSG00000126233	P55000	Secreted LY6/PLAUR domain containing 1	Evidence at transcript level	Group enriched	4	esophagus: 1047.6;skin 1: 730.8	SLUR1_HUMAN	11186	16	57152	54	74	NA	NA	NA
SLURP2	ENSG00000283992	P0DP57	Secreted LY6/PLAUR domain containing 2	Evidence at transcript level	Group enriched	5	esophagus: 877.8;skin 1: 281.2;vagina: 221.5	SLUR2_HUMAN	10160	11	432355	13	0	NA	NA	NA
SLX1A	ENSG00000132207	Q9BQ83	SLX1 homolog A, structure-specific endonuclease subunit	Evidence at transcript level	Low tissue specificity	NA		SLX1_HUMAN	30771	38	548593	19	0	NA	NA	NA
SLX1B	ENSG00000181625	Q9BQ83	SLX1 homolog B, structure-specific endonuclease subunit	Evidence at transcript level	Low tissue specificity	NA		SLX1_HUMAN	30771	38	79008	12	1	NA	NA	NA
SLX4	ENSG00000188827	Q8IY92	SLX4 structure-specific endonuclease subunit	Evidence at protein level	Tissue enhanced	NA	testis: 10.7	SLX4_HUMAN	200012	74	84464	94	1	NA	NA	NA
SLX4IP	ENSG00000149346	Q5VYV7	SLX4 interacting protein	Evidence at transcript level	Low tissue specificity	NA		SLX4I_HUMAN	45552	2	128710	24	0	NA	NA	NA
SMAD1	ENSG00000170365	Q15797	SMAD family member 1	Evidence at protein level	Low tissue specificity	NA		SMAD1_HUMAN	52260	133	4086	291	50	NA	NA	NA
SMAD2	ENSG00000175387	Q15796	SMAD family member 2	Evidence at protein level	Low tissue specificity	NA		SMAD2_HUMAN	52306	240	4087	677	73	NA	NA	NA
